CLIENT,POLI,RRI,type_ctr,code_insee,flag
10143401,71370161,1516811,AU1,11111,0
10143401,76826861,1516811,AU1,68297,0
10143431,73024801,1513001,MRH,30032,1
10143431,37458221,1513001,AU1,30032,0
10143551,36109581,1510201,MRH,02468,1
10143551,76673561,1510201,MRH,02468,0
10143551,37107941,1510201,AU1,02468,0
10143601,75373391,1510611,MRH,06088,1
10143611,37699561,1510111,AU1,01314,1
10143621,36433201,1510301,MRH,03321,1
10143651,36415961,1511111,MRH,11069,1
10143661,36702161,1510101,MRH,01303,1
10143671,75397641,1511311,MRH,05110,1
10143671,72541611,1511311,AU1,13216,1
10143671,35886861,1512411,MRH,24223,1
10143671,75868711,1512411,AU2,24223,0
10143701,70367641,1516201,MRH,62755,1
10143701,38134871,1516201,AU1,62755,0
10143701,75519411,1516201,MRH,66017,0
10143701,72382441,1511311,MRH,13112,1
10143701,74097351,1511311,AU1,13112,0
10143701,75645211,1511311,AU1,13112,0
10143701,74088551,1510311,MRH,03186,1
10143701,37663351,1510311,AU1,03186,0
10143701,73255641,1510311,AU1,03186,0
10143701,37052861,1510311,AU1,03186,0
10143701,71264911,1510311,AU1,03186,0
10143701,74401131,1510311,AU1,03186,0
10143701,73255711,1510311,AU2,03186,0
10143701,74892281,1510311,AU2,03186,0
10143701,73132721,1510311,MRH,03214,0
10143721,74336801,1518901,MRH,89348,1
10143721,38204341,1518901,AU1,89348,0
10143721,73574771,1518901,AU1,89348,0
10143761,36468471,1514301,MRH,43099,1
10143761,37722841,1514301,AU1,43099,0
10143781,36468481,1514301,MRH,43185,1
10143781,37388271,1514301,AU1,43185,0
10143881,72966861,1517631,MRH,76515,1
10143931,70358881,1513311,MRH,33057,1
10143931,72273181,1513311,AU1,33057,0
10143931,72195281,1513311,AU1,33057,0
10143941,36472881,1517861,MRH,92019,1
10143961,72429001,1512411,MRH,24073,1
10143961,71568211,1512411,AU1,24073,0
10143961,72861511,1512411,AU1,24073,0
10144001,73203621,1513111,MRH,31202,1
10144091,74106711,1517131,MRH,71040,1
10144091,37641411,1517131,AU2,71278,1
10144121,36477831,1511811,MRH,18207,1
10144121,75974391,1511811,AU1,18207,0
10144121,37474401,1511811,AU1,18207,0
10144121,73115551,1511811,AU1,18207,0
10144121,73768831,1511811,AU2,18207,0
10144121,73922011,1511811,AU2,18207,0
10144141,75402851,1517631,MRH,76217,1
10144141,76701201,1517631,AU1,76217,0
10144161,74553661,1514601,MRH,46267,1
10144161,71956521,1514601,MRH,46267,0
10144161,71461541,1514601,AGR,46267,0
10144161,37643941,1514601,AU2,46267,0
10144201,37200581,1510211,AU1,02810,1
10144201,37278441,1510211,AU1,02810,0
10144231,37397431,1510901,AU1,09105,1
10144251,73976351,1516411,MRH,94067,1
10144251,74200861,1516411,AU1,94067,0
10144281,75896601,1517621,AU1,76474,1
10144291,75790811,1512901,AU1,29006,1
10144291,71094281,1512901,AU1,29020,1
10144291,76050941,1512901,AU1,29020,0
10144361,36555271,1512301,MRH,23030,1
10144361,37457991,1512301,AU1,23030,0
10144411,36304391,1517831,MRH,14409,1
10144611,76451331,1510401,AU1,04139,1
10144621,36285721,1512201,MRH,22054,1
10144621,76141931,1512201,AU1,22054,0
10144621,70898941,1512201,AU1,22054,0
10144621,36346381,1511801,MRH,18141,1
10144661,74891751,1512101,AU1,21405,1
10144661,75849141,1512101,AGR,21405,0
10144671,37454831,1516901,AU1,69242,1
10144701,74575571,1518301,MRH,83067,1
10144701,32462071,1518301,AU1,83067,0
10144701,31272711,1512511,AU1,25388,1
10144711,72582611,1517901,MRH,63415,1
10144711,75951161,1517901,AU1,63415,0
10144711,76263201,1517901,MRH,87085,0
10144721,75756221,1513001,MRH,30299,1
10144721,76051351,1513001,AU1,30299,0
10144721,75586271,1513001,MRH,54547,0
10144721,71247461,1515611,MRH,29024,1
10144721,75711541,1515611,AU1,56233,1
10144721,74546561,1515611,AU1,56233,0
10144721,75277111,1515611,AU2,56233,0
10144761,36310381,1518201,MRH,82033,1
10144761,37733091,1518201,AU1,82033,0
10144761,73914711,1518201,AU1,82033,0
10144781,76543741,1518501,MRH,49099,1
10144781,71564911,1518501,MRH,85254,1
10144781,76317151,1518501,MRH,85254,0
