CLIENT,POLI,RRI,type_ctr,code_insee,flag
10143721,74336801,1518901,MRH,89348,1
10143721,38204341,1518901,AU1,89348,0
10143721,73574771,1518901,AU1,89348,0
10143761,36468471,1514301,MRH,43099,1
10143761,37722841,1514301,AU1,43099,0
10143781,36468481,1514301,MRH,43185,1
10143781,37388271,1514301,AU1,43185,0
10143881,72966861,1517631,MRH,76515,1
10143931,70358881,1513311,MRH,33057,1
10143931,72273181,1513311,AU1,33057,0
10143931,72195281,1513311,AU1,33057,0
10143941,36472881,1517861,MRH,92019,1
10143961,72429001,1512411,MRH,24073,1
10143961,71568211,1512411,AU1,24073,0
10143961,72861511,1512411,AU1,24073,0
10144001,73203621,1513111,MRH,31202,1
10144091,74106711,1517131,MRH,71040,1
10144091,37641411,1517131,AU2,71278,1
10144121,36477831,1511811,MRH,18207,1
10144121,75974391,1511811,AU1,18207,0
10144121,37474401,1511811,AU1,18207,0
10144121,73115551,1511811,AU1,18207,0
10144121,73768831,1511811,AU2,18207,0
10144121,73922011,1511811,AU2,18207,0
10144141,75402851,1517631,MRH,76217,1
10144141,76701201,1517631,AU1,76217,0
10144161,74553661,1514601,MRH,46267,1
10144161,71956521,1514601,MRH,46267,0
10144161,71461541,1514601,AGR,46267,0
10144161,37643941,1514601,AU2,46267,0
10144201,37200581,1510211,AU1,02810,1
10144201,37278441,1510211,AU1,02810,0
10144231,37397431,1510901,AU1,09105,1
10144251,73976351,1516411,MRH,94067,1
10144251,74200861,1516411,AU1,94067,0
10144281,75896601,1517621,AU1,76474,1
10144291,75790811,1512901,AU1,29006,1
10144291,71094281,1512901,AU1,29020,1
10144291,76050941,1512901,AU1,29020,0
10144361,36555271,1512301,MRH,23030,1
10144361,37457991,1512301,AU1,23030,0
10144411,36304391,1517831,MRH,14409,1
10144611,76451331,1510401,AU1,04139,1
10144621,36285721,1512201,MRH,22054,1
10144621,76141931,1512201,AU1,22054,0
10144621,70898941,1512201,AU1,22054,0
10144621,36346381,1511801,MRH,18141,1
10144661,74891751,1512101,AU1,21405,1
10144661,75849141,1512101,AGR,21405,0
10144671,37454831,1516901,AU1,69242,1
10144701,74575571,1518301,MRH,83067,1
